Python;Python é uma linguagem de programação de alto nível, de propósito geral e de código aberto. Foi criada por Guido van Rossum e seu desenvolvimento começou em 1989, com a primeira versão lançada em 1991. Python é conhecida por sua sintaxe clara, legibilidade de código e versatilidade.
IDE;Ferramenta que oferece um conjunto de funcionalidades para facilitar o desenvolvimento de software, incluindo editor de código, depurador e compilador.
Git;Sistema de controle de versão distribuído que permite o rastreamento de alterações no código-fonte durante o desenvolvimento de software.
Framework;Conjunto de ferramentas e bibliotecas que fornece uma estrutura para o desenvolvimento rápido e eficiente de aplicações.
SQL;Linguagem de consulta utilizada para gerenciar e manipular dados em bancos de dados relacionais.
MVC;Padrão de arquitetura de software que separa uma aplicação em três componentes principais: Modelo, Visão e Controlador.
Algoritmo;Sequência de passos bem definidos para executar uma tarefa ou resolver um problema.
Debugging;Processo de identificar e corrigir erros em um programa de computador.
DNS;Sistema que converte nomes de domínio legíveis por humanos em endereços IP compreendidos por computadores.
SCRUM;Metodologia ágil de desenvolvimento de software que enfatiza a colaboração, a comunicação e a entrega iterativa de funcionalidades.
